Name,Department,Faculty,
Wendy Adams,Faculty of Law,Faculty of Law
Priya S. Gupta,Faculty of Law,Faculty of Law
Kirsten Anker,Faculty of Law,Faculty of Law
Brian Havel,Faculty of Law,Faculty of Law
Mark Antaki,Faculty of Law,Faculty of Law
Alicia Hinarejos,Faculty of Law,Faculty of Law
Jonas-Sébastien Beaudry,Faculty of Law,Faculty of Law
Andrea Bjorklund,Faculty of Law,Faculty of Law
Ram Jakhu,Faculty of Law,Faculty of Law
Richard Janda,Faculty of Law,Faculty of Law
Adelle Blackett,Faculty of Law,Faculty of Law
Sébastien Jodoin,Faculty of Law,Faculty of Law
Angela Campbell,Faculty of Law,Faculty of Law
Rosalie Junkier,Faculty of Law,Faculty of Law
Allison Christians,Faculty of Law,Faculty of Law
Lara Khoury,Faculty of Law,Faculty of Law
Ignacio Cofone,Faculty of Law,Faculty of Law
Alana Klein,Faculty of Law,Faculty of Law
Francois Crepeau,Faculty of Law,Faculty of Law
David Lametti,Faculty of Law,Faculty of Law
Helge Dedek,Faculty of Law,Faculty of Law
Robert Leckey,Faculty of Law,Faculty of Law
Jaye Ellis,Faculty of Law,Faculty of Law
Marie Manikis,Faculty of Law,Faculty of Law
Yaëll Emerich,Faculty of Law,Faculty of Law
Frédéric Mégret,Faculty of Law,Faculty of Law
Omar Farahat,Faculty of Law,Faculty of Law
Aaron Mills,Faculty of Law,Faculty of Law
Evan Fox-Decent,Faculty of Law,Faculty of Law
Pierre-Emmanuel Moyse,Faculty of Law,Faculty of Law
Fabien Gélinas,Faculty of Law,Faculty of Law
Peer Zumbansen,Faculty of Law,Faculty of Law
Richard Gold,Faculty of Law,Faculty of Law
Jennifer Raso,Faculty of Law,Faculty of Law
Jean-Guy Belley,Faculty of Law,Faculty of Law
Madelein Cantin Cumyn,Faculty of Law,Faculty of Law
Irwin Cotlet,Faculty of Law,Faculty of Law
Armand de Mestral,Faculty of Law,Faculty of Law
Paul S.Dempsey,Faculty of Law,Faculty of Law
Jane Matthews Glenn,Faculty of Law,Faculty of Law
Pierre-Gabriel Jobin,Faculty of Law,Faculty of Law
Dennis R. Klinck,Faculty of Law,Faculty of Law
Stephen Scott,Faculty of Law,Faculty of Law
Margaret Somerville,Faculty of Law,Faculty of Law
Kenneth Atlas,Faculty of Law,Faculty of Law
Marc Barbeau,Faculty of Law,Faculty of Law
Carol Cohen,Faculty of Law,Faculty of Law
Marie Deschamps,Faculty of Law,Faculty of Law
Martine De Serres,Faculty of Law,Faculty of Law
Jeffrey Edwards,Faculty of Law,Faculty of Law
Morris Fish,Faculty of Law,Faculty of Law
Mahmud Jamal,Faculty of Law,Faculty of Law
Paul Fitzgerald,Faculty of Law,Faculty of Law
Clément Gascon,Faculty of Law,Faculty of Law
Marc Gold,Faculty of Law,Faculty of Law
Sunny Handa,Faculty of Law,Faculty of Law
Donal P. Hanley,Faculty of Law,Faculty of Law
Andrew Harakas,Faculty of Law,Faculty of Law
Patrick Healy,Faculty of Law,Faculty of Law
David Howes,Faculty of Law,Faculty of Law
Robert Israel,Faculty of Law,Faculty of Law
Nicholas Kasirer,Faculty of Law,Faculty of Law
Marc Lemieux,Faculty of Law,Faculty of Law
Peter Nesgos,Faculty of Law,Faculty of Law
Louise Otis,Faculty of Law,Faculty of Law
Alexander Pless,Faculty of Law,Faculty of Law
Robert Raizenne,Faculty of Law,Faculty of Law
John Saba,Faculty of Law,Faculty of Law
Francis Schubert,Faculty of Law,Faculty of Law
Peter Van Fenema,Faculty of Law,Faculty of Law
Ludwig Weber,Faculty of Law,Faculty of Law
James Woods,Faculty of Law,Faculty of Law